customerID,gender,ContractedDate,CancelledDate,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,numAdminTickets,numTechTickets,Churn
0526-SXDJP,Male,27/01/1975,,No,Two year,No,Bank transfer (automatic),42.1,2962,0,0,No
0557-ASKVU,Female,06/12/1976,,Yes,One year,Yes,Credit card (automatic),54.4,957.1,0,0,No
5698-BQJOH,Female,09/11/1990,24/08/2006,Yes,Month-to-month,No,Electronic check,94.4,857.25,0,0,Yes
5122-CYFXA,Female,02/11/1955,,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0,No
8627-ZYGSZ,Male,21/10/1970,,Yes,One year,Yes,Electronic check,78.9,3650.35,0,3,No
3410-YOQBQ,Female,18/09/1989,,Yes,Two year,No,Mailed check,79.2,2497.2,3,0,No
3170-NMYVV,Female,18/06/1997,,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,0,0,No
7410-OIEDU,Male,25/07/1988,,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,0,0,No
2273-QCKXA,Male,22/09/1956,,Yes,Month-to-month,No,Mailed check,49.05,49.05,0,0,No
0731-EBJQB,Female,25/10/1998,,Yes,One year,Yes,Electronic check,20.4,1090.65,0,0,No
1891-QRQSA,Male,08/02/1957,,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,0,0,No
8028-PNXHQ,Male,17/02/1984,,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0,No
5630-AHZIL,Female,29/07/1961,,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0,No
2673-CXQEU,Female,06/07/1988,,Yes,One year,No,Electronic check,110.5,6139.5,0,0,No
6416-JNVRK,Female,18/07/1959,,Yes,One year,No,Credit card (automatic),55.65,2688.85,1,0,No
5590-ZSKRV,Female,09/08/1958,,Yes,Month-to-month,No,Mailed check,54.65,482.25,0,0,No
0191-ZHSKZ,Male,19/04/2002,,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0,No
3887-PBQAO,Female,01/12/1997,,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,0,0,No
5919-TMRGD,Female,19/08/1990,27/10/2017,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,2,0,Yes
8108-UXRQN,Female,06/04/1965,,No,Month-to-month,No,Electronic check,50.55,565.35,0,0,No
9191-MYQKX,Female,13/10/1970,08/10/2005,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,5,0,Yes
9919-YLNNG,Female,12/03/1976,,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0,No
0318-ZOPWS,Female,23/08/1972,,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0,No
4445-ZJNMU,Male,10/10/1969,,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0,No
4808-YNLEU,Female,13/04/1962,,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0,No
1862-QRWPE,Female,01/11/1986,,Yes,Two year,No,Bank transfer (automatic),20.65,1057,0,0,No
2796-NNUFI,Female,28/07/1992,,Yes,Two year,Yes,Mailed check,19.95,927.1,0,0,No
3016-KSVCP,Male,03/01/2002,,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0,No
4767-HZZHQ,Male,24/04/1952,,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0,No
2424-WVHPL,Male,26/02/1964,,Yes,Month-to-month,No,Electronic check,74.7,74.7,0,0,No
7233-PAHHL,Male,04/11/1999,,Yes,Two year,Yes,Mailed check,84,5714.25,0,0,No
6067-NGCEU,Female,14/01/1969,,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,0,0,No
9848-JQJTX,Male,04/12/2000,,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0,No
8637-XJIVR,Female,24/01/1988,10/11/2020,Yes,Month-to-month,Yes,Electronic check,78.95,927.35,0,0,Yes
9803-FTJCG,Male,06/12/1972,,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,0,0,No
0278-YXOOG,Male,05/02/1958,02/02/2004,Yes,Month-to-month,No,Mailed check,21.05,113.85,5,0,Yes
3212-KXOCR,Male,24/11/1971,,Yes,Two year,No,Bank transfer (automatic),21,1107.2,0,0,No
4598-XLKNJ,Female,19/08/2002,28/09/2013,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,0,1,Yes
6380-ARCEH,Male,03/07/1988,,Yes,Month-to-month,No,Mailed check,20.2,20.2,0,0,No
3679-XASPY,Female,16/06/1997,,Yes,Month-to-month,No,Electronic check,19.45,19.45,0,0,No
7123-WQUHX,Male,11/08/1952,,Yes,One year,No,Bank transfer (automatic),95,3605.6,0,0,No
5386-THSLQ,Female,23/09/1979,,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0,No
3192-NQECA,Male,21/04/1952,29/03/2014,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,0,6,Yes
6180-YBIQI,Male,14/07/1973,,No,Month-to-month,No,Mailed check,24.3,100.2,0,0,No
6728-DKUCO,Female,25/02/1952,,Yes,One year,Yes,Electronic check,104.15,7303.05,0,0,No
9750-BOOHV,Female,03/06/1969,,No,One year,No,Mailed check,30.15,927.65,0,0,No
8597-CWYHH,Male,07/05/1970,,Yes,One year,No,Mailed check,94.35,3921.3,0,0,No
2848-YXSMW,Male,28/06/1962,,Yes,Two year,No,Credit card (automatic),19.4,1363.25,0,0,No
0486-HECZI,Male,02/10/1979,08/02/2020,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,0,5,Yes
4549-ZDQYY,Female,15/12/1987,,Yes,One year,No,Credit card (automatic),57.95,3042.25,5,0,No
5712-AHQNN,Female,30/12/1981,,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,0,0,No
4846-WHAFZ,Female,12/09/1960,26/03/2007,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15,0,0,Yes
5256-SKJGO,Female,09/04/1952,,No,Two year,Yes,Electronic check,54.6,3423.5,0,0,No
3071-VBYPO,Male,04/01/1998,,Yes,Month-to-month,No,Electronic check,89.85,248.4,0,0,No
9560-BBZXK,Female,22/12/1995,,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,0,No
5299-RULOA,Female,06/04/1966,30/09/2003,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,0,1,Yes
8402-OOOHJ,Female,16/12/1955,,Yes,Two year,No,Mailed check,20.65,835.15,0,0,No
9445-ZUEQE,Male,27/09/1984,,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,2,No
1091-SOZGA,Female,24/05/1987,,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,0,No
2928-HLDBA,Female,13/01/1963,,Yes,Month-to-month,No,Mailed check,20.7,112.75,0,0,No
0404-SWRVG,Male,09/04/1965,11/04/2013,Yes,Month-to-month,Yes,Electronic check,74.4,229.55,0,0,Yes
6497-TILVL,Female,11/12/1995,,Yes,Month-to-month,No,Mailed check,50.7,350.35,0,0,No
7219-TLZHO,Female,12/05/2002,,Yes,Month-to-month,No,Mailed check,20.85,62.9,0,0,No
4622-YNKIJ,Male,16/02/1978,,Yes,Two year,Yes,Electronic check,88.95,3027.65,0,0,No
4412-YLTKF,Female,29/05/1976,02/04/2004,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5,0,0,Yes
6734-PSBAW,Male,10/02/2003,,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,0,No
3930-ZGWVE,Male,01/02/1990,,Yes,Month-to-month,No,Mailed check,19.75,19.75,0,0,No
2639-UGMAZ,Male,20/04/1963,,No,One year,Yes,Electronic check,56.45,3985.35,0,0,No
2876-GZYZC,Female,16/01/1977,,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,0,0,No
6207-WIOLX,Female,02/07/1979,09/04/2021,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,0,1,Yes
8587-XYZSF,Male,11/07/1971,,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,0,0,No
3091-FYHKI,Male,12/09/1998,27/05/2008,No,Month-to-month,Yes,Electronic check,35.45,35.45,0,0,Yes
2372-HWUHI,Male,07/05/1986,02/04/2017,Yes,Month-to-month,No,Electronic check,44.35,81.25,0,0,Yes
7799-LGRDP,Female,12/03/1993,,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,0,0,No
7850-VWJUU,Female,10/03/1973,,Yes,Month-to-month,Yes,Bank transfer (automatic),75,1778.5,4,0,No
3774-VBNXY,Female,22/06/1995,,Yes,Two year,No,Mailed check,20.2,1277.75,0,0,No
6217-KDYWC,Male,13/11/1954,,Yes,Two year,Yes,Mailed check,19.6,1170.55,0,0,No
0390-DCFDQ,Female,12/05/1975,25/11/2010,Yes,Month-to-month,Yes,Mailed check,70.45,70.45,0,0,Yes
3146-MSEGF,Female,12/05/1992,,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,0,0,No
4080-OGPJL,Female,05/06/1994,17/02/2016,Yes,Month-to-month,No,Electronic check,71.15,563.65,0,0,Yes
1095-WGNGG,Female,02/11/1982,,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,0,0,No
2636-SJDOU,Male,10/09/1964,,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,0,0,No
1131-QQZEB,Male,16/06/1979,,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,0,0,No
5716-EZXZN,Female,07/07/1954,,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,0,0,No
6837-BJYDQ,Male,01/11/1960,,Yes,One year,No,Mailed check,19.6,61.35,0,0,No
2135-RXIHG,Male,15/04/1974,22/10/2007,Yes,Month-to-month,Yes,Electronic check,45.65,45.65,0,0,Yes
6440-DKQGE,Male,11/08/1972,,Yes,One year,No,Credit card (automatic),64.5,1929.95,0,0,No
3466-BYAVD,Male,15/08/1951,,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,0,0,No
3780-YVMFA,Female,12/05/1965,,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,4,0,No
3874-EQOEP,Male,27/07/1972,27/03/2010,Yes,Month-to-month,No,Mailed check,95,655.5,2,0,Yes
1679-JRFBR,Female,31/10/1956,,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,0,0,No
9073-ZZIAY,Male,11/03/1977,,Yes,Two year,No,Electronic check,86.1,5215.25,1,0,No
3077-RSNTJ,Female,08/02/1954,,Yes,Month-to-month,No,Mailed check,19.7,113.5,0,0,No
6551-GNYDG,Female,31/12/1974,,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0,0,No
9167-APMXZ,Female,11/01/1995,,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,0,0,No
2749-CTKAJ,Male,23/11/1989,,Yes,One year,No,Mailed check,20.15,419.9,0,0,No
6371-NZYEG,Male,15/04/1955,,Yes,Two year,No,Mailed check,64.25,1024,0,0,No
7554-NEWDD,Male,10/05/1987,,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,0,0,No
8992-VONJD,Female,02/04/1973,,Yes,Month-to-month,Yes,Electronic check,56,764.55,0,0,No
0867-MKZVY,Female,03/05/2000,21/03/2020,Yes,Month-to-month,No,Electronic check,82.4,1592.35,0,0,Yes
4482-EWFMI,Female,14/09/1976,,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,0,0,No
4648-YPBTM,Male,26/05/1998,,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,0,1,No
2907-ILJBN,Female,03/02/1988,,Yes,One year,No,Mailed check,20.6,233.9,2,0,No
6345-FZOQH,Male,20/12/1984,,Yes,Two year,No,Mailed check,19.9,1363.45,0,0,No
3376-BMGFE,Female,27/05/1968,21/09/2014,Yes,Month-to-month,Yes,Bank transfer (automatic),70.9,273,2,0,Yes
5997-OPVFA,Male,27/06/1990,,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,4,0,No
3445-HXXGF,Male,12/10/1973,20/10/2020,No,Month-to-month,Yes,Electronic check,45.3,2651.2,0,5,Yes
1159-WFSGR,Female,14/10/1955,,Yes,Month-to-month,No,Electronic check,20.4,321.4,0,0,No
7654-YWJUF,Male,26/09/2000,,Yes,One year,Yes,Bank transfer (automatic),84.25,3539.25,0,0,No
1875-QIVME,Female,25/10/1986,06/09/2015,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,2,0,Yes
6727-IOTLZ,Male,12/02/1985,,Yes,Two year,No,Mailed check,81.95,1181.75,0,0,No
0691-JVSYA,Female,11/07/1988,30/08/2004,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,0,5,Yes
5918-VUKWP,Female,20/04/1986,,Yes,One year,No,Bank transfer (automatic),20.55,654.55,0,0,No
1744-JHKYS,Female,24/07/1990,,Yes,Month-to-month,No,Electronic check,24.7,780.2,0,0,No
2656-FMOKZ,Female,17/06/1963,10/07/2013,Yes,Month-to-month,Yes,Mailed check,74.45,1145.7,3,0,Yes
2070-FNEXE,Female,31/03/1981,19/11/2018,Yes,Month-to-month,No,Bank transfer (automatic),76.45,503.6,0,0,Yes
5947-SGKCL,Female,07/08/1974,,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,0,0,No
3712-PKXZA,Male,09/11/1985,,Yes,One year,Yes,Credit card (automatic),20.55,1252,0,0,No
6317-YPKDH,Female,20/08/1993,22/07/2003,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,0,0,Yes
6582-OIVSP,Female,06/05/1995,,Yes,Month-to-month,No,Mailed check,45.3,45.3,0,0,No
9367-WXLCH,Male,07/01/1996,18/01/2006,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,0,0,Yes
5524-KHNJP,Male,29/08/1985,,Yes,One year,No,Credit card (automatic),74.75,2453.3,0,0,No
1918-ZBFQJ,Female,20/11/1984,23/09/2018,Yes,Month-to-month,Yes,Electronic check,79.25,1111.65,2,1,Yes
1024-GUALD,Female,15/01/1954,16/09/2012,No,Month-to-month,Yes,Electronic check,24.8,24.8,4,0,Yes
4827-USJHP,Male,14/11/1959,,Yes,Month-to-month,Yes,Mailed check,51.8,1023.85,0,0,No
8167-GJLRN,Male,01/05/1980,,No,Month-to-month,No,Electronic check,30.4,82.15,0,0,No
0956-SYCWG,Female,23/01/1974,,Yes,One year,No,Electronic check,19.65,244.8,0,0,No
8017-UVSZU,Female,14/02/1962,,Yes,Month-to-month,No,Credit card (automatic),56.6,2379.1,0,0,No
7100-FQPRV,Male,01/05/1955,,Yes,One year,Yes,Credit card (automatic),71.9,3173.35,0,0,No
2472-OVKUP,Male,09/04/1962,19/05/2004,Yes,Month-to-month,Yes,Electronic check,91,531,0,0,Yes
2984-RGEYA,Female,22/05/1980,,Yes,Two year,No,Bank transfer (automatic),19.75,1375.4,0,0,No
9680-NIAUV,Female,15/09/2002,,Yes,Two year,No,Credit card (automatic),109.7,8129.3,0,0,No
2146-EGVDT,Male,13/01/1960,,Yes,Two year,No,Credit card (automatic),19.3,1192.7,0,0,No
2604-IJPDU,Female,22/05/1978,,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65,0,0,No
9178-JHUVJ,Male,29/06/1965,,Yes,Two year,Yes,Bank transfer (automatic),24.1,587.4,0,0,No
6168-YBYNP,Male,09/11/1998,,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,0,0,No
7255-SSFBC,Male,06/03/1984,,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,0,0,No
3645-DEYGF,Male,18/01/1957,,Yes,Month-to-month,No,Mailed check,20.75,20.75,0,0,No
9323-HGFWY,Female,07/02/1977,,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,0,0,No
8544-GOQSH,Female,04/01/2000,,Yes,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,0,0,No
3363-DTIVD,Male,08/02/1954,,Yes,Two year,No,Electronic check,105.55,7405.5,0,0,No
7018-WBJNK,Male,21/02/1977,,Yes,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,0,0,No
9142-KZXOP,Male,26/01/1976,,Yes,Month-to-month,No,Credit card (automatic),68.85,2958.95,0,0,No
7674-YTAFD,Female,22/02/1952,,Yes,One year,Yes,Bank transfer (automatic),79.95,2684.85,5,0,No
6348-SNFUS,Male,05/06/1966,,No,Two year,Yes,Credit card (automatic),55.45,4179.2,0,0,No
1285-OKIPP,Male,25/12/1987,29/02/2004,Yes,Month-to-month,No,Electronic check,79.9,79.9,0,0,Yes
7825-ECJRF,Female,23/03/1976,15/04/2020,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,0,1,Yes
1347-KTTTA,Male,16/06/2001,,Yes,One year,Yes,Credit card (automatic),102.45,6654.1,0,0,No
7841-TZDMQ,Male,22/09/2002,07/11/2009,Yes,Month-to-month,Yes,Credit card (automatic),46,84.5,0,0,Yes
4195-NZGTA,Female,27/05/1983,,No,Month-to-month,No,Electronic check,25.25,25.25,5,0,No
7157-SMCFK,Male,10/08/1966,,Yes,Two year,No,Mailed check,19.75,1124.2,0,0,No
4709-LKHYG,Female,07/03/1973,,Yes,One year,No,Electronic check,20,540.05,0,0,No
2504-DSHIH,Male,01/08/1968,,Yes,Month-to-month,No,Electronic check,86.8,1975.85,4,0,No
0699-NDKJM,Female,25/08/1999,,No,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,0,1,No
9286-BHDQG,Male,17/08/1961,,No,Two year,No,Credit card (automatic),45.25,3139.8,0,0,No
0230-WEQUW,Male,19/12/1994,,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,0,0,No
2040-LDIWQ,Male,31/07/1974,,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5,0,0,No
6496-JDSSB,Female,19/07/1961,,Yes,Month-to-month,Yes,Bank transfer (automatic),80,624.6,0,0,No
9408-SSNVZ,Female,16/12/2001,13/06/2003,Yes,Month-to-month,Yes,Electronic check,70.15,268.35,0,0,Yes
4443-EMBNA,Female,23/05/1999,,Yes,Two year,No,Bank transfer (automatic),24.75,1836.9,0,0,No
6469-MRVET,Male,17/06/1984,,Yes,One year,Yes,Electronic check,20.2,20.2,0,0,No
0742-MOABM,Male,21/04/2001,17/03/2005,Yes,Month-to-month,No,Mailed check,50.05,179.35,0,0,Yes
5961-VUSRV,Female,11/11/1957,,Yes,One year,Yes,Bank transfer (automatic),19.35,219.35,0,0,No
6778-JFCMK,Male,26/04/1986,,No,One year,Yes,Mailed check,50.6,1288.75,0,0,No
6341-JVQGF,Female,01/10/1974,,Yes,One year,Yes,Mailed check,81.15,2545.75,0,0,No
2232-DMLXU,Female,19/04/1969,14/09/2008,Yes,Month-to-month,No,Mailed check,55.2,55.2,0,0,Yes
4811-JBUVU,Male,07/02/2001,,Yes,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,0,0,No
0945-TSONX,Female,12/03/1967,,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,0,0,No
2651-ZCBXV,Male,11/08/1997,,Yes,Two year,Yes,Credit card (automatic),108,5760.65,0,0,No
3316-UWXUY,Male,21/02/1972,,Yes,Month-to-month,Yes,Credit card (automatic),93.5,4747.5,0,0,No
8937-RDTHP,Male,24/08/1973,08/09/2018,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,0,1,Yes
7083-MIOPC,Female,30/08/1991,,Yes,Two year,No,Credit card (automatic),20.25,1566.9,0,0,No
1984-GPTEH,Female,28/11/1951,,Yes,Month-to-month,No,Electronic check,25.15,702,0,0,No
1251-KRREG,Male,26/05/1973,09/05/2014,Yes,Month-to-month,Yes,Mailed check,54.4,114.1,0,0,Yes
0621-JFHOL,Female,06/03/1994,,No,Two year,Yes,Mailed check,29.6,299.05,0,0,No
9903-LYSAB,Male,14/10/1997,,Yes,Month-to-month,Yes,Electronic check,73.15,1305.95,0,0,No
0094-OIFMO,Female,23/01/1965,15/12/2012,Yes,Month-to-month,Yes,Electronic check,95,1120.3,0,0,Yes
9227-UAQFT,Male,28/03/1977,,Yes,Two year,No,Mailed check,19.75,284.35,0,0,No
7301-ABVAD,Female,14/07/1956,,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5,0,1,No
6614-FHDBO,Male,01/07/1978,,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,4,0,No
7576-ASEJU,Female,03/11/1959,,Yes,One year,Yes,Credit card (automatic),74.7,3187.65,0,2,No
9058-HRZSV,Female,21/10/1952,,Yes,Month-to-month,No,Electronic check,94.4,6126.15,0,0,No
